question1,question2,is_duplicate
янЁ «Ќ÷— ‘—«∆Ќ ќ»“ «бЌг«г гЏ «бћ»д…њ,гд Ў—ё  Ќ÷н— ‘—«∆Ќ   «бћ»д…њ,0
яг  »бџ Ќ’… «бЁ—ѕ «бж«Ќѕ гд «бд« ћ «бгЌбн Ён √г—ня«њ,яг  ’б д”»… «бд« ћ «бгЌбн ббЁ—ѕ Ён «бжб«н«  «бг Ќѕ…њ,1
г« √’б «”г ћ“н—… ”ёЎ—мњ,√нд  ёЏ ћ“н—… ”ёЎ—мњ,0
г« ен «бг‘«яб «бг — »… Џбм «б»—’њ,г« ен «бг‘«яб «бг — »… Џбм «бг’«» »«б»е«ёњ,0
г« «бЏж«гб «б н ћЏб  гд гѕ—нѕ Џ«’г… б≈”»«дн«њ,г« ен Џ«’г… ≈”»«дн«њ,0
гд Ў—ё  Ќ÷н— «бяжг»н—њ,гд Ў—ё  Ќ÷н— «бяжг»н— »«бѕћ«ћњ,0
г« «бгћ«б«  «б н  жЁ—е« «б’ЌЁ «бнжгн…њ,г« ен «бћ—«∆ѕ њ,0
янЁ «Ќ÷— гЏя—жд… б”«д «бЏ’Ёж—њ,гд Ў—ё  Ќ÷н— б”«д «бЏ’Ёж—њ,0
г« жў«∆Ё  ёдн… «бгЏбжг« њ,г« гяжд«   ёдн… «бгЏбжг«  њ,0
г« Ў—нё…  Ќ÷н— Џћнд… я» яня «б»н “« њ,гд Ў—ё  Ќ÷н—  «б»н “«њ,0
г« Ў—нё…  Ќ÷н— «бё—д»нЎ «бгёбн њ,гд Ў—ё  Ќ÷н— «бё—д»нЎњ,0
гд еж «бд«»џ… «б–н»«днњ,гд еж «бд«»џ… «б–н»«днњ,1
г« ен  Ў»нё«   яджбжћн« VOIPњ,г«–« дё’ѕ » » яжбжћн« VOIPњ,0
г« д’ ѕЏ«Ѕ «б«” ќ«—…њ,г« еж ѕЏ«Ѕ ’б«… «б«” ќ«—…њ,1
г« Ў—нё…  Ќ÷н— »”яжн  Џнѕ «б√÷Ќмњ,гд Ў—ё  Ќ÷н— »”яжн  Џнѕ «б√÷Ќмњ,1
√н √ће“… гд «бджян« нѕЏге« дў«г «б√дѕ—жнѕњ,еб  ” ќѕг ‘—я… джян« дў«г «б√дѕ—жнѕ Ён яб «ће“ е« «бќбжн…њ,1
г« ен д”»… «бг”бгд Ён —ж”н«њ,г« ен √я»— гѕнд… Ён —ж”«њ,0
г« ен Џ«’г… гж“г»нёњ,г« ен Џ«’г… г«нж  «б «»Џ… бЁ—д”«њ,0
г« еж √ёѕг ћ«гЏ Ён Џ«’г… «бћ“«∆—њ,г« «”г √ёѕг ћ«гЏ Ён Џ«’г… «бћгеж—н… «бћ“«∆—н…њ,1
гд еж ё«∆б ё’нѕ… ѕ—… »Ќ—н… гяджд…њ,гд ’«Ќ» ё’нѕ… ѕ—… »Ќ—н… гяджд…њ,1
г« ен ¬б«  «б ’жн— Џѕнг… «бг—¬…њ,еб нжћѕ ¬б«   ’жн— »ѕжд г—¬…њ,0
г« ен г÷«ЏЁ«   бнЁ «бя»ѕњ,г« ен г÷«ЏЁ«  «б е«» «бя»ѕњ,0
√нд  жћѕ ”«д г«—ндж Ён ё«—… √ж—ж»«њ,г« еж гжёЏ —жг«дн« Ён ё«—… √ж—ж»«њ,0
янЁ «Ќ÷— ЁЎн—… «б—ш«Џн њ,гд Ў—ё  Ќ÷н— ЁЎн—…њ,0
гд ё«я »«я ‘«Ё жб«н… днж »—жд“жняњ,гд еж гя ‘Ё жб«н… √жд «—нжњ,0
г«–« дё’ѕ »«бѕћ«ћ «б¬”нжншњ,г« «бгё’жѕ »«бѕћ«ћ «б¬”нжншњ,1
янЁ «Ќ÷— «б»«” « гЏ «бќ÷«— ж«бѕћ«ћ гЏ «б’б’… «бЌг—«Ѕњ,гд Ў—ё  Ќ÷н— «бѕћ«ћ ж«б»«” «њ,0
г« Ў—нё…  Ќ÷н— «б»Ё ня «бг‘жн гЏ «б’жн« ’ж’ њ,янЁ «Ќ÷— «б»Ё ня «бг‘жн њ,0
янЁ н дЁ” √»ж –дн»…њ,янЁ няжд ‘яб √»ж –дн»…њ,0
г« еж √я»— «б√”ж«ё Ён »—нЎ«дн«њ,г« г”«Ќ… ”жё е«—ѕжд“њ,0
г«–« дё’ѕ »«бћгЏн«  «бќн—н…њ,г« ен «еѕ«Ё «бћгЏн«  «бќн—н…њ,0
г« ж«ћ»«  «бг ЎжЏнд Ён «б«Џг«б «б ЎжЏн… њ,г«–« Џбм «бг ЎжЏнд Џгб… Ён «б«Џг«б «б ЎжЏн… њ,1
г« Џ«’г… џ«г»н«њ,г« Џ«’г… »ж—янд« Ё«”жњ,0
гд «”»«» «бЋж—… «б’д«Џн… њ,г«  Џ—нЁ «бЋж—… «б’д«Џн… њ,0
г«–« дё’ѕ »«б«’жб «бг ѕ«жб…њ,г« гЏдм «б«’жб «бг ѕ«жб…њ,1
г« гЏдм «бЏгб «бЌ— њ,г« «бгё’жѕ »«бЏгб «бћ— њ,1
г« ен Ёж«∆ѕ г«Ѕ «б»Ќ— ббћ”гњ,г« «бЁж«∆ѕ «б’Ќн… бг«Ѕ «б»Ќ—њ,1
г« «б–н нгн“ гѕнд… «б» —«Ѕњ,г« «ббё» «б–н  бё» »е «б» —«Ѕњ,0
г« д”»… жћжѕ «б√н—бдѕннжд Ён √” —«бн«њ,гд «я ‘Ё ”ж«Ќб √” —«бн« «бџ—»н…њ,0
гд г«–« н яжд «бгџд«Ўн” њ,г« еж «бгџд«Ўн” њ,0
янЁ «Ќ÷—  »жѕдћ «бћ“— «бедѕнњ,гд Ў—ё  Ќ÷н—  «бћ“— «бедѕнњ,0
г« еж «б≈”г «б–н √хЎбё Џбм ≈”»«дн« гд ё»б «бЁнднёнждњ,√нд  ёЏ ≈”»«дн«њ,0
бг«–« нЌ «ћ я»«— «б”д ббгягб«  «бџ–«∆н…  Ќ жн »12њ,г« «б”»» б д«жб я»«— «б”д ббгягб«  «бџ–«∆н… «б н  Ќ жнм Џбм »12њ,1
яг  ’б г”«Ќ… ћ“н—… г«нж  «бгжћжѕ Ён ћ“— «бёг—њ,г« ен «бг”«Ќ… «б≈ћг«бн… бћ“н—… г«нж  Ён ћ“— «бёг—њ,1
янЁ «Ќ÷— яня… «б‘жяжб« … њ,гд Ў—ё  Ќ÷н—  «б‘жяжб« … њ,0
г« ен ё’нѕ… √д« нж”Ё н« √»нњ,гд ё«∆б ё’нѕ… «д« нж”Ё н« √»нњ,0
г« √яЋ— ‘нЅ нгнш“ дў«г «б√дѕ—жнѕњ,г« еж «б√дѕ—жнѕњ,0
бг«–« ”гн  ё«—… ¬”н« »е–« «б«”гњ,г« Ќѕжѕ ё«—… ¬”н« гд «б‘г«б ж«бћдж» ж«б‘—ё ж«бџ—»њ,0
яг н»бџ Џѕѕ ”я«д ’—»н«њ,яг н»бџ Џѕѕ ”я«д ”«д г«—нджњ,0
еб  ƒЋ— «бя—«г… Џбм «б«д г«Ѕњ,г« ен «бя—«г…њ,0
яг  »бџ д”»… «бг”бгнд Ён ћ“— «бёг—њ,г« д”»… «бг”бгнд «бгжћжѕнд Ён ћ“— бёг—њ,1
яг н»бџ Џѕѕ ”я«д «б”Џжѕн…њ,г« еж √’б ”я«д «б”Џжѕн…њ,0
гд Ў—ё  Ќ÷н— «б”»«дќ гЏ «бЏѕ”њ,гд Ў—ё  Ќ÷н— «б”»«дќ њ,0
г« ен «”»«» «б—жг« н“гњ,бг–« д’«» »«б—жг« н“гњ,1
янЁ «Ќ÷— √’«»Џ «б‘жяжб« …њ,гд Ў—ё  Ќ÷н— «б‘жяжб« …њ,0
г«–« дё’ѕ »Џ’« «б”нбЁнњ,гд «ќ —Џ Џ’« «б”нбЁнњ,0
г« гЏдм Ќ» «бжЎдњ,г« гЏдм «б«” ќб«Ёњ,0
янЁ √ ћд» √÷—«— «б»—ж нд«  «б’д«Џн…њ,янЁ √ ћд» «бџ‘ Џдѕ ‘—«Ѕ «б»—ж нд«  «б’д«Џн…њ,0
г«–« «Ўбё Џбм √жб Ў«∆—… г—жЌн…њ,г« «”г «жб Ў«∆—… г—жЌн…њ,1
янЁ «Ќ÷— «б”жн”—жб њ,гд Ў—ё  Ќ÷н— «б”жн”—жб њ,1
г« ен «бЁж«∆ѕ «б’Ќн… б‘ћ—… «б”ѕ—њ,г« Ёж«∆ѕ «б”ѕ— б’Ќ… «б»‘—…њ,0
гд нЏѕ «бгн“«дн… њ,гд «бг”ƒжб Џд  Ќ÷н— «бгн“«дн… њ,1
янЁ «Ќ÷— «б»—жябн «бгёбнњ,гд Ў—ё  Ќ÷н—  «б»—жябнњ,0
г м я«д  √жб ’ж—… »«б√бж«дњ,г« ен «б’ж—… «бгбжд…њ,0
г« ен «б»бѕ «б   Ќѕ «б√—ѕд гд «бџ—»њ,г«–« нЌѕ «б√—ѕд гд «б‘—ёњ,0
г« ен √»н«   ё’нѕ… ѕ—” гд я«г« ”жЎ—« бгЌгжѕ ѕ—жн‘њ,гд √нд √ м «”г ё’нѕ… гд я«г« ”жЎ—« бгЌгжѕ ѕ—жн‘њ,0
яг н»бџ Ўжб »—ћ жд жж—бѕ  —нѕ ”д —њ,√нд нжћѕ жд жж—бѕ  —нѕ ”д —њ,0
яг Џѕѕ ”я«д »яндњ,г« Џѕѕ «б”я«д Ён »яндњ,1
гд г«–« »хдн «бяжбж”нжгњ,√нд нёЏ «бяжбж”нжг  Ќѕнѕ«р Ён √бг«дн«њ,0
яг Џѕѕ «б√ѕЏг… «б н  ѕЏг г”ћѕ «б«” ёб«бњ,г« Џѕѕ «б√ѕЏг… «бѕ«Џг… бг”ћѕ «б«” ёб«бњ,1
г« еж «б Џѕ«ѕ «б”я«дн Ён √дѕж—«њ,г« еж «б Џѕ«ѕ «б”я«дн Ён √б»«дн«њ,0
г« еж «— Ё«Џ ћ»б Ўж»ё«дњ,г« ен √‘е— «б”б«”б «бћ»бн… «бгжћжѕ… Ён «бгџ—» «бЏ—»нњ,0
г« Ў—нё…  Ќ÷н— «бгбжќнш… »«б√—«д» њ,гд Ў—ё  Ќ÷н— «бгбжќн…њ,0
г«  Џ—нЁ «бёнг њ,гд ќ’«∆’ «бёнг њ,0
г« Ў—нё…  Ќ÷н— «бЁ«’жбн« «б»н÷«Ѕњ,янЁ «Ќ÷— ««бЁ«’жбн« «б»н÷«Ѕњ,1
г« Џ«’г… «бднћ—њ,г« «”г Џ«’г… «бднћ—њ,1
бг«–« ”гн  «б√—ѕд »е–« «б«”гњ,≈бм г«–« нЏжѕ ”»»  ”гн… «б√—ѕдњ,1
г м дећ  гѕџ‘ё— Ён « »«Џ «бдў«г «б«ё ’«ѕн «б≈‘ —«янњ,г м √’»Ќ «бЌяг Ён гѕџ‘ё— ћгеж—н«р —∆«”н«рњ,0
г« ен г—«Ќб «д‘«Ѕ г‘—жЏ  —»н… ѕж«ћдњ,г«  Џ—нЁ «бѕж«ћд њ,0
г«–« дё’ѕ »«беж«г‘ њ,г« ”б»н«  ж÷Џ «беж«г‘ њ,0
г« «б√”»«» «б н  ƒѕн б÷ЏЁ «б‘ќ’н…њ,г«–« дЏдн »«б‘ќ’н… «б÷ЏнЁ…њ,0
яг  ’б «бг”«Ќ… «б≈ћг«бн… б≈”»«дн«њ,яг  ’б «бг”«Ќ… «б≈ћг«бн… б”бжЁндн«њ,0
яг н»бџ Ўжб »—ћ ‘дћ«е«нњ,г« еж Ўжб ‘дће«н  «ж—њ,1
г« г‘—жЏн… ’б«… «бЌ«ћ…њ,еб ’б«… «бЌ«ћ… г‘—жЏ…њ,1
янЁ «Ќ÷— √—“ш »—н«дн »«бќ÷«—њ,",гд Ў—ё  Ќ÷н— √—“ш »—н«дн »«бќ÷«—њ",1
г«–« дё’ѕ «б≈нѕ«г« њ,г« ен Ў—нё…  Ќ÷н— ≈нѕ«г «ббж»н«Ѕ »«ббЌгњ,0
г« ен √ћгб гѕнд… Ён «бг«дн«њ,бг«–« ”гн  гѕнд… ѕж”бѕжЁ »Џ«’г… «б√д«ё…њ,0
г м √д ћ  ‘—я… ж«б  ѕн“дн Ёнбг »н«÷ «бЋбћ ж«б√ё“«г «б”»Џ…њ,г« ен «жб ‘ќ’н… Ён ж«б  ѕн“днњ,0
г« еж «бгд«ќ «б”«∆ѕ Ён √г—ня«њ,г« Џѕѕ «б√ё«бнг «б—∆н”н… Ён √г—ня«њ,0
г« ен ’Ё«  «б«”г«Ѕ «б ћ«—н… њ,г« ен √ег ’Ё«  «б«”г«Ѕ «б ћ«—н… њ,1
»г«–« нЁнѕ  г—нд «б÷џЎ Ён Ќ—ё ѕежд «бћ”гњ,г« ен Ёж«∆ѕ  г—нд «б÷џўњ,0
еб ед«я гбќ’ ббг—«”б«  «б«ѕ«—н… њ,г« еж гбќ’ «бг—«”б«  «б«ѕ«—н… њ,1
г« Ў—нё…  Ќ÷н— «бг’«»н» ѕжд »н÷ њ,гд Ў—ё  Ќ÷н— «бг’«»н»  «бгЌ‘н њ,0
г«  Џ—нЁ «бдёѕ «бЋё«Ёнњ,г« еж «бдёѕ «б√ѕ»нњ,0
г« гЏдм  ћжнЁ «бЁќ«— њ,г«–« дё’ѕ » ћжнЁ «бЁќ«— њ,1
янЁ  ƒЋ— «бећ—… Џбм «бѕжб гд д«Ќн…«ё ’«ѕн…њ,г« ен «бд «∆ћ «б≈ё ’«ѕн… »«бд”»… ббећ—… њ,1
г« «”г«Ѕ “жћ«  «б—”жбњ,г« «”г«Ѕ џ“ж«  «б—”жбњ,0
г м  г »д«Ѕ г»дм «бё’»… Ён «бћ“«∆—њ,»г«–« я«д н” ќѕг г»дм «бё’»… ёѕнг«рњ,0
гд Ў—ё  Ќ÷н— яня… «б‘жяжб« … «б’н«гнњ,гд Ў—ё  Ќ÷н— яня… «б‘жяжб« …  њ,0
гд Ў—ё  Ќ÷н— ’ндн… «бЌб»… гЏ «б”г”гњ,гд Ў—ё  Ќ÷н— «бЌб»…њ,0
√нд  ёЏ гѕнд… ћ“ндн ‘њ,√нд  жћѕ гѕнд… ћ—ндн ‘њ,1
г« еж «бгд«ќ «бЏ«г бб»— џ«бњ,г« еж гд«ќ «б»— џ«бњ,1
г« ”»»  ”гн… «б√—ѕд »е–« «б«”гњ,≈бм г«–« нЏжѕ ”»»  ”гн… «б√—ѕдњ,1
г« гЏдм «б«” ќ«—… «б«’Ўб«Ќнњ,г« Ў—нё… «б«” ќ«—…њ,0
г« еж  «—нќ «” ёб«б гѕџ‘ё— гд «бЁ—д”нндњ,г« Ќ«б «бЎё” ’нЁ«р Ён гѕџ‘ё—њ,0
г«–« дё’ѕ »гё«»б… «бЏгб њ,г«–« дё’ѕ »«бЏгб њ,0
г« «егн… «бЁж«∆ѕ «б»дян… њ,гд Ёж«∆ѕ Ё«∆ѕ… «б»дяњ,1
янЁ √Џгб г«”я б»‘— нњ,г« ен «бќЎж«  «бб«“г… бЏгб ёд«Џ ббжћењ,1
Ён √н гя«д нЏн‘ «б÷ЁѕЏњ,Ён √н «бгд«Ўё нгяЋ «б÷ЁѕЏњ,1
г« «бгё’жѕ »«бџдм њ,г« еж «бџдм њ,1
г« ен «б«г—«÷ «б н  ’«Ќ» «б»—’њ,г« ен «б«г—«÷ «бг’«Ќ»… бб»е«ёњ,0
г« Ў—нё…  Ќ÷н— яня… «бё—Ё… њ,янЁ «Ќ÷— яня… «бё—Ё…њ,1
г« ќ’«∆’ «бЁќ«— њ,гд ггн“«  «бЁќ«— њ,1
яг н»бџ Ўжб  гЋ«б «бг”нЌ «бЁ«ѕнњ,г« «— Ё«Џ ћ»б яж—яжЁ«ѕжњ,0
г« «”г Џ«’г… ”жн”—«њ,г« «”г Џ«’г… «б”жнѕњ,0
г« Ў—нё…  Ќ÷н—  «бнёЎнд »«бЎЌндн… њ,гд Ў—ё  Ќ÷н—  «бнёЎнд »«бЎЌндн…њ,1
г м ’ѕ—  Џгб… «бяжн њ,г« ен «бЏгб… њ,0
г« «бћ«гЏ… «б н «» я—  √жб ће«“ Ќ«”ж»њ,г« еж «бЌ«”ж»њ,0
г« Ў—нё…  Ќ÷н— я—«  «бѕћ«ћ гЏ «бЎг«Ўг ж«б“ЏЁ—«дњ,гд Ў—ё  Ќ÷н— «бѕћ«ћњ,0
г« «бг”«Ќ… «бћџ—«Ён… бя«гб гд«Ўё ё«—… √жён«джн«њ,яг  »бџ г”«Ќ… ћгнЏ √ћ“«Ѕ ё«—… √жён«дж”н« «б≈ћг«бн…њ,1
г« еж ≈Џ«ѕ… ÷»Ў «бг’дЏњ,янЁ «Џгб ÷»Ў «бг’дЏ бе« Ёнњ,0
»г«–« я«д   ”гм «бгџ—» ёѕнг«рњ,г«–« я«д   ”гм «бгџ—» ёѕнг«рњ,1
г« ен гяжд«  «б яджбжћн« њ,г«  Џ—нЁ «б яджбжћн« њ,0
г« ен «бёд«… «бЁ«’б… »нд ё«— н ¬”н« ж√Ё—нён«њ,яг  »бџ г”«Ќ… ё«—… ¬”н«њ,0
г« Ў—нё…  Ќ÷н— »н “« «б”бгжд њ,гд Ў—ё  Ќ÷н—  «б”бгждњ,0
янЁ «’дЏ гџд«Ўн” њ,г« еж «бгџд«Ўн” њ,0
г« еж Џб«ћ Ќгм «б нЁж∆нѕњ,янЁ  Џ«бћ «бЌгмњ,0
√нд  ёЏ г’—њ,г« Џ«’г… г’—њ,0
г« Ў—нё…  Ќ÷н— ”бЎ… «б‘гдѕ—  њ,гд Ў—ё  Ќ÷н— ”бЎ…  њ,0
г« Ў—нё…  Ќ÷н— ‘ж—»… б”«д «бЏ’Ёж—њ,янЁ «Ќ÷— ‘ж—»… б”«д «бЏ’Ёж—њ,1
янЁ «Ќ÷—  «б”бЎ… «бќ÷—«Ѕњ,гд Ў—ё  Ќ÷н—  «б”бЎ…  њ,0
янЁ нЏ«бћ «б»е«ёњ,янЁ « ќб’ гд «б»е«ёњ,1
г« «”г Џ«’г… ёЎ—њ,Ён √н ё«—…  ёЏ бѕжЌ…њ,0
яг н’б  Џѕ«ѕ ежбдѕ« «б”я«днњ,яг н»бџ «б Џѕ«ѕ «б”я«дн Ён ежбдѕ«њ,1
г« еж  Џ—нЁ «б”ег њ,г«–« дё’ѕ »«б”ег њ,1
гд Ў—ё  Ќ÷н— «б“е—… »«б»дѕж—… њ,гд Ў—ё  Ќ÷н— «б“е—… њ,0
гд ‘—жЎ «бё—ж÷ њ,гд «дж«Џ «бё—ж÷ њ,0
г м ’ѕ—  Џгб… б»д«дњ,г« ен «бЏгб… њ,0
гд ггн“«  «б яджбжћн« њ,г« «нћ«»н«  «б яджбжћн« њ,1
г« Ў—нё…  Ќ÷н— Ќбж «бнжнж њ,гд Ў—ё  Ќ÷н— яня…њ,0
г«–« дё’ѕ »«бёнг «б«ё ’«ѕн…њ,г« ен «бёнг «б«ё ’«ѕн… њ,1
г« ен Ё«∆ѕ… «б√—“ «бгЎЌжд гЏ «бЏ”б бб»‘—…њ,г« ен Ё«∆ѕ «бЏ”б бб»‘—…њ,0
гд еж гѕн— ёж«Џѕ «б»н«д« њ,г м ўе—  ёж«Џѕ «б»н«д« њ,0
янЁ «Ќ÷— яня… «бд”я«Ёнењ,гд Ў—ё  Ќ÷н— яня…  њ,0
г« «б–н ѕЁЏ ћ“— Ёнћн Џд  ќбне« Џд гЏўг ћх“—е« б»—нЎ«дн«њ,г« «б”»» ж—«Ѕ  ќбн ћ“н—… Ёнћн Џд гЏўг ћх“—е« бб»—нЎ«днндњ,1
г« дў«г «бЌяг Ён «бггбя… «б«—ѕдн… «бе«‘гн…њ,г« еж дў«г «бЌяг Ён «б√—ѕдњ,1
г« ен ќ’«∆’ «бдёжѕ њ,гд «дж«Џ «бдёжѕ њ,0
гд Ў—ё  Ќ÷н—  »жѕдћ «б√—“ «бедѕнњ,гд Ў—ё  Ќ÷н—  «б√—“ «бедѕнњ,0
г« янЁн… ’дЏ «бћ»д… «б»н÷«Ѕ Ён «бгд“б њ,янЁ «’дЏ «бћ»д… «б»н÷«Ѕ Ён «бгд“б њ,1
г« Ў—нё…  Ќ÷н— «бЎЌ«б гЏ «бдяе«  њ,гд Ў—ё  Ќ÷н— «бЎЌ«бњ,0
г« янЁн…  Ќ÷н— я—«  «б г— »«бѕ«нћн” Ё ж«бенбњ,янЁ «’дЏ  я—«  «б г— »«бѕ«нћн” Ё ж«бенбњ,1
г« ен √”еб ќбЎ… бб Ўжнб «б‘Џ—њ,г« ен ж’Ё…  Ўжнб «б‘Џ— »”—Џ…њ,1
»√н ‘Џ— »ѕ« д“«— ё»«дн ня »њ,г« ен √ћгб ё’нѕ… бд“«— ё»ш«днњ,0
г« Ў—нё…  Ќ÷н— «б г— »«бЎЌндн… њ,гд Ў—ё  Ќ÷н— яня… «б г—њ,0
г« ”»»  д’н» √Ќгѕ ‘жён «гн—«р бб‘Џ— «бЏ—»нњ,гд еж √Ќгѕ ‘жёнњ,0
гд Ў—ё  Ќ÷н— ««бя‘яњ,гд Ў—ё  Ќ÷н— ‘ж—»… «бя‘яњ,0
янЁ «Ќ÷— “е—… гуёбнш…њ,гд Ў—ё  Ќ÷н— “е—… гуёбнш…њ,1
г« ен «б»Ў«б… њ,г«–« дё’ѕ »«б»Ў«б… њ,1
еб нЁнѕ «б»н÷ «б»‘—…њ,г« ен Ёж«∆ѕ «б»н÷ бб‘Џ—њ,0
г« ен √÷—«— «б»—ж нд« њ,янЁ  яжд «б»—ж нд«  г÷—… ббћ”гњ,1
г« Ў—нё…  Ќ÷н— ’б’… «б»н “« њ,янЁ «Ќ÷— ’б’… «б»н “«њ,1
г« √”г«Ѕ «ббџ«  џн— «б≈”»«дн… «бгжћжѕ… Ён ≈”»«дн«њ,г« ен г”«Ќ… ≈”»«дн«њ,0
янЁ «Ќ÷—я» яня «б»— ё«б »ѕжд »н÷ њ,гд Ў—ё я» яня «б»— ё«б њ,0
г«  √Ћн— Ёег г’ЎбЌ «бжЎд ббћгнЏ Џбм «бгж«Ўдндњ,г«  Џ—нЁ «б«д г«Ѕњ,0
г« «бЌ«б«  «б н д’бн Ёне« «б«” ќ«—…њ,янЁ д’бн «б«” ќ«—…њ,0
г« ен бџ… е«н н «б—”гн…њ,г« ен «ббџ… «б—”гн… бћ“н—… е«н нњ,1
г« еж Џ«г Ё Ќ «бг”бгнд «бћ“«∆—њ,Ён √н Џ«г Ё Ќ «бг”бгнд «бћ“«∆—њ,1
г м «ќ —Џ «бе« Ё «бгЌгжбњ,г« еж √жб е« Ё гЌгжбњ,0
еб нЏ »— «б ж«÷Џ ’Ё… ггн“… бб‘ќ’н… «бёжн…њ,г« еж «б ж«÷Џњ,0
г« ен г”«Ќ… »бћнян«њ,г« г”«Ќ… —ж”н« «б»н÷«Ѕњ,0
г« ен Ў—ё «бЏд«н… »«б»‘—…њ,г« √ег «бЎ—ё ббЏд«н… »«б»‘—…њ,1
г« ен «бд’нЌ… ё»б «б»ѕ√ »«бг‘—Џњ,г« еж «бг‘—жЏњ,0
гд Ќ«гб бж«Ѕ џ“ж… »ж«Ўњ,бгд ”бг «бд»н бж«Ѕ џ“ж… »ж«Ўњ,1
г« ен ё’нѕ… ж–«  ѕб я√дш «б»ѕ— ’ж— е«њ,гд гƒбЁ ё’нѕ… ж–«  ѕб я√дш «б»ѕ— ’ж— е«њ,0
г м  г  «» я«— √жб ће«“ –янњ,г м √ќ —Џ √жб ће«“ –янњ,1
г« Ў—нё…  Ќ÷н— Ёнбне «бѕћ«ћ гЏ «б√Џ‘«» њ,гд Ў—ё  Ќ÷н— Ёнбне «бѕћ«ћ њ,0
г« ен √ег «бгд«’» «б н ‘џбе« гЌгжѕ ѕ—жн‘њ,г« ен √ег «б√Џг«б «б н «‘ џбе« гЌгжѕ ѕ—жн‘њ,1
